headline,category,content,url
Szokujące wyznanie Igora Herbuta. 'Gaśnie we mnie ta iskra',yapping,"Igor Herbut urodził się 17 grudnia i z racji urodzin podsumował pewien okres w życiu w social mediach. Jego wpis nie należy do typowych, jakie gwiazdy mają w zwyczaju prezentować na urodziny. Muzyk do","https://www.plotek.pl/plotek/7,154063,31550990,szokujace-wyznanie-igora-herbuta-gasnie-we-mnie-ta-iskra.html"
Górniak kolędowała ze Steczkowską i wyszła z niej diwa. Gwiazdy zniesmaczone,yapping,"Jak co roku polskie gwiazdy wyjechały do USA, by wziąć udział w koncercie kolęd i wystąpić przed Polonią. Do sieci wyciekł fragment nagrania z wydarzenia. W oczy od razu rzuca się zachowanie Edyty Gór","https://www.plotek.pl/plotek/7,154063,31550784,zenujace-zachowanie-edyty-gorniak-wszystko-sie-nagralo.html"
"Tragedia Joanny Moro, pieniądze przepadły. 'Budzisz się niemal bez niczego'",yapping,"Jak podaje Super Express, Joanna Moro ma poważne kłopoty finansowe. Aktorka jakiś czas temu zainwestowała duże pieniądze w pożyczkę inwestorską. Moro przekazała jednak, że mężczyzna, któremu powierz","https://www.plotek.pl/plotek/7,154063,31550856,tragedia-joanny-moro-pieniadze-przepadly-budzisz-sie-niemal.html"
Chorosińska pogratulowała Nowakowskiej. Prezenterkę trafił szlag,yapping,"Ida Nowakowska od 2015 roku jest żoną  Jacka Herndona, a para wychowuje trzyletniego dziś syna. Nowakowska, która z show-biznesem związana jest od wielu lat, jest także bardzo aktywna w mediach społec","https://www.plotek.pl/plotek/7,154063,31550781,chorosinska-gratuluje-nowakowskiej-ciazy-prezenterka-sie.html"
"Agata Duda organizuje konkurs. Hola, hola, rodacy. Trzeba spełnić dwa warunki",yapping,"Agata Duda sprawuje funkcję pierwszej damy już dziewiąty rok z rzędu. W tym okresie pojawiało się wiele głosów, jakoby żona głowy państwa nie była zaangażowana w swoją rolę i rzadko zabierała głos w j","https://www.plotek.pl/plotek/7,154063,31550444,agata-duda-organizuje-konkurs-chcecie-sie-zglosic-hola-hola.html"
"Przykre wieści na temat dzieci Barbary Sienkiewicz. Posłanka ujawniła, jak spędzą święta",yapping,"Barbara Sienkiewicz została okrzyknięta najstarszą matką w Polsce. Aktorka, która zdecydowała się na dojrzałe macierzyństwo, zmarła w wieku 69 lat 7 czerwca 2024 roku. Kobieta zapisała w testamencie","https://www.plotek.pl/plotek/7,154063,31550454,smutne-wiesci-na-temat-dzieci-barbary-sienkiewicz-tak-spedza.html"
Katarzyna Cichopek świętuje 11. urodziny córki. Na tort nie poskąpiła,yapping,"4 grudnia Marcin Hakiel i Dominika Serowska dumnie poinformowali w mediach społecznościowych, że na świecie pojawił się Romeo. Szczęśliwi rodzice dzielą się pierwszymi wspólnymi chwilami z synem w sie","https://www.plotek.pl/plotek/7,154063,31550511,katarzyna-cichopek-swietuje-nastoletniosc-corki-tort-robi-wrazenie.html"
Internauci grzmią o krzywdzie syna Hakiela. Dominika zamknęła usta krytykom,yapping,"Marcin Hakiel i Dominika Serowska od jakiegoś czasu są razem. Para nie stroni od mediów, gdzie chętnie opowiadają o związku. Nie brakuje ich również w sieci. Niedawno na świecie pojawiło się pierwsze","https://www.plotek.pl/plotek/7,154063,31550241,internauci-grzmia-o-krzywdzie-syna-hakiela-dominika-zamknela.html"
Sawicka z powrotem mieszka u byłego męża. Mówi o ustalonych warunkach,yapping,"Agata Sawicka i Wojtek Sawicki tworzyli jedną z bardzo lubianych par w internecie. Wielu podziwiało związek influencerki i jej byłego już partnera, który zmaga się z dystrofią mięśniową Duchenne'a. Ic","https://www.plotek.pl/plotek/7,154063,31550032,dlaczego-sawicka-znow-zamieszkala-z-bylym-postanowila-wyjasnic.html"
Aktywista LGBT+ wygrał w sądzie z TVP. Doczekał się długich przeprosin,yapping,"Telewizją Polską przez lata zarządzał Jacek Kurski, który został jej prezesem w 2016 roku. Aż do 2022 roku mogliśmy obserwować zmiany, które zachodziły u państwowego nadawcy. Nie dało się ukryć, że pr","https://www.plotek.pl/plotek/7,154063,31550275,aktywista-lgbt-wygral-w-sadzie-z-tvp-doczekal-sie-dlugich.html"
Maja Hyży zmaga się z koszmarnym bólem. To nie koniec problemów po wyjściu ze szpitala,yapping,"Maja Hyży jest bardzo aktywna w mediach społecznościowych, gdzie chętnie pokazuje ujęcia z życia prywatnego. Niedawno piosenkarka poinformowała fanów, że musiała przejść poważną operację biodra. Tym r","https://www.plotek.pl/plotek/7,154063,31550099,maja-hyzy-zmaga-sie-z-koszmarnym-bolem-to-nie-koniec-problemow.html"
To będzie hit! Doda współpracuje z byłymi partnerami. Obnażą całą prawdę,yapping,"Doda wie, że produkcje z jej osobą cieszą się ogromnym zainteresowaniem. Razem z Amazon Prime Video pracuje nad filmem o swoim życiu i karierze, w którym nie zabraknie prywaty. Artystka postanowiła wr","https://www.plotek.pl/plotek/7,154063,31549464,doda-kreci-dokument-o-sobie-w-ktory-zaangazowala-eks-chcialam.html"
Dorota Wellman z zaskakującym wyznaniem. Jest gotowa na najgorsze,yapping,"Codziennie dochodzą do nas niepokojące informacje z krajów ogarniętych konfliktami. Dorota Wellman śledzi sytuację na bieżąco i jest przygotowana na każdy scenariusz. Wierzę, że będzie dobrze, a gdyb","https://www.plotek.pl/plotek/7,154063,31549733,szokujace-slowa-doroty-wellman-jest-gotowa-na-najgorsze.html"
"Erotyczne opowiadania o Trzaskowskim. Po nich oczu kąpiel. 'Przejechałam dłonią po jego mięśniach brzucha, a on...'",yapping,"Co łączy postaci ze świata Harry'ego Pottera, Quebonafide, Taco Hemingwaya oraz Rafała Trzaskowskiego? Wszyscy oni zostali bohaterami fanfików, a więc amatorskich utworów, których autorami zazwyczaj s","https://www.plotek.pl/plotek/7,154063,31548148,erotyczne-opowiadania-o-trzaskowskim-a-po-nich-oczu-kapiel.html"
"To przesądziło. Kaczorowska wyjawiła, kiedy podjęła decyzję o rozstaniu z Pelą",yapping,"Na początku października w mediach pojawiła się wiadomość o rozstaniu Agnieszki Kaczorowskiej i Macieja Peli. I choć małżonkowie z początku milczeli, ostatecznie oboje potwierdzili te wieść podczas wi","https://www.plotek.pl/plotek/7,154063,31549471,kaczorowska-wyjawila-kiedy-podjela-decyzje-o-rozstaniu-z-pela.html"
"Kubicka pod kroplówką, a Baron chwycił za telefon. Zaczął się tłumaczyć",yapping,"Sandra Kubicka niedawno poinformowała fanów, że ostatnie dni były dla niej wyjątkowo trudne. Modelka musiała pogodzić nadzorowanie budowy domu z chorobą. Jak sama podkreśliła, zjadła coś, czego nie po","https://www.plotek.pl/plotek/7,154063,31549721,kubicka-pod-kroplowka-a-baron-sie-tlumaczy-budowa-proba.html"
"Kurier DPD rozpakował świąteczny prezent i się rozczarował. Niebywałe, co dostał",yapping,"Do świąt Bożego Narodzenia pozostał niewiele ponad tydzień. To czas kiedy wiele firm decyduje się obdarować swoich pracowników upominkami. Ostatnio pracownicy ochoczo dzielą się w sieci prezentami, kt","https://www.plotek.pl/plotek/7,154063,31548935,kurier-dpd-narzeka-na-swiateczna-paczke-internauci-szybko-postawili.html"
Syn Górniak nie chce nosić nazwiska żadnego z rodziców. Takich słów chyba nikt się nie spodziewał,yapping,"Edyta Górniak i Dariusz Krupa mają razem syna Allana. 20-latek poszedł w ślady sławnych rodziców. Nie da się ukryć, że ma bardzo dobry kontakt z mamą. Tego nie można powiedzieć jednak o jego tacie. -","https://www.plotek.pl/plotek/7,154063,31548885,syn-gorniak-nie-chce-nosic-nazwiska-zadnego-z-rodzicow-takich.html"
"Wiedzieliście, kim jest brat Weroniki Rosati? Niebywałe, czym zajmuje się 51-latek",yapping,"Weronika Rosati dała się poznać jako utalentowana aktorka. Również jej rodzina zyskała dużą popularność. Rodzice celebrytki to Teresa i Dariusz Rosati. Mama aktorki zajmuje się modą, zaś jej tata poli","https://www.plotek.pl/plotek/7,154063,31548547,brat-weroniki-rosati-tez-jest-popularny-malo-kto-wie-czym.html"
"Rozenek wydaje 28 tys. zł na syna. Wszystko po to, by dołączył do 8 proc. Polaków",yapping,"Małgorzata Rozenek-Majdan i Radosław Majdan są rodzicami czteroletniego Henryka. Nie da się ukryć, że chłopiec jest oczkiem w głowie pary. Zdjęcia i nagrania z synem pojawiają się w mediach społecznoś","https://www.plotek.pl/plotek/7,154063,31548150,rozenek-wydaje-28-tys-rocznie-na-syna-chce-aby-zdobyl-umiejetnosc.html"
Magdalena Biejat nie przypomina dawnej siebie. Tak kiedyś wyglądała kandydatka Lewicy,yapping,"Od jakiegoś czasu spekulowano na temat tego, kto będzie reprezentować Lewicę w wyborach prezydenckich. Najczęściej stawiano na ministerkę ds. rodziny Agnieszkę Dziemianowicz-Bąk i ministerkę ds. równo","https://www.plotek.pl/plotek/7,154063,31547849,magdalena-biejat-nie-przypomina-dawnej-siebie-tak-kiedys-wygladala.html"
Trzaskowski zakpił z Andrzeja Dudy. Wszyscy to usłyszeli,yapping,"Rafał Trzaskowski od lat jest aktywny w mediach społecznościowych, ale teraz od kiedy kandyduje w wyborach prezydenckich, publikuje jeszcze więcej treści na X. Teraz polityk postanowił zaspokoić cieka","https://www.plotek.pl/plotek/7,154063,31547728,trzaskowski-mowil-o-serniku-wtem-zakpil-z-andrzeja-dudy-moze.html"
Wesołowska urodziła cztery miesiące temu. Pokazała najnowsze zdjęcie syna,yapping,Kuba Wesołowski największą popularność zyskał dzięki roli Igora Nowaka w uwielbianym przez widzów serialu Na wspólnej. Aktor od lat jest w związku małżeńskim z Agnieszką. Para w 2016 roku powitała n,"https://www.plotek.pl/plotek/7,154063,31547737,syn-kuby-wesolowskiego-ma-juz-cztery-miesiace-tak-dzis-wyglada.html"
"Najpierw zrezygnowała z nazwiska męża, a teraz to. Emilia Komarnicka nie owija w bawełnę",yapping,Jakiś czas temu Emilia Komarnicka przestała używać nazwiska męża i wróciła publicznie do panieńskiego. To rozpętało prawdziwą burzę w mediach. W sieci pojawiły się plotki o kryzysie w jej małżeństwie,"https://www.plotek.pl/plotek/7,154063,31547666,najpierw-zrezygnowala-z-nazwiska-meza-a-teraz-to-emilia-komarnicka.html"
Kubicka trafiła pod kroplówkę. Co w tym czasie robił Baron?,yapping,"Sandra Kubicka ostatnie dni przeżyła jako koszmar. Nadzorowała przeprowadzkę do nowego domu, a w tym samym czasie się rozchorowała. Poinformowała fanów na Instagramie, że zmaga się z zatruciem pokarmo","https://www.plotek.pl/plotek/7,154063,31547663,kubicka-trafila-pod-kroplowke-co-w-tym-czasie-robil-baron.html"
Quiz wiedzy o polskich artystkach. Komplet tylko dla prawdziwych fanów,yapping,"Error scraping URL: Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""[id=""gazeta_article_body""]""}
  (Session info: chrome=131.0.6778.140); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
	GetHandleVerifier [0x002C34A3+25059]
	(No symbol) [0x0024CEA4]
	(No symbol) [0x0012BEC3]
	(No symbol) [0x0016FD86]
	(No symbol) [0x0016FFCB]
	(No symbol) [0x001AD952]
	(No symbol) [0x00191F44]
	(No symbol) [0x001AB51E]
	(No symbol) [0x00191C96]
	(No symbol) [0x00163FAC]
	(No symbol) [0x00164F3D]
	GetHandleVerifier [0x005B5613+3113811]
	GetHandleVerifier [0x005CA2DA+3199002]
	GetHandleVerifier [0x005C2AB2+3168242]
	GetHandleVerifier [0x00363310+680016]
	(No symbol) [0x002557ED]
	(No symbol) [0x00252A98]
	(No symbol) [0x00252C35]
	(No symbol) [0x00245890]
	BaseThreadInitThunk [0x7684FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x7777809E+286]
	RtlGetAppContainerNamedObjectPath [0x7777806E+238]
	(No symbol) [0x00000000]
","https://www.plotek.pl/plotek/13,154581,23940,plotkarski-quiz-wiedzy-o-polskich-artystkach-komplet.html"
