headline,category,url
Sztuczna inteligencja wywołuje choroby. Astma jedną z nich,technologia,"https://geekweek.interia.pl/technologia/news-sztuczna-inteligencja-wywoluje-choroby-astma-jedna-z-nich,nId,20355810"
Paniczna ewakuacja Rosjan. Sprzęt wart miliardy dolarów,technologia,"https://geekweek.interia.pl/lotnictwo/news-paniczna-ewakuacja-rosjan-sprzet-wart-miliardy-dolarow,nId,20355833"
Hub Gamingowo-Technologiczny na Śląsku. Ruszy pierwszy etap,technologia,"https://geekweek.interia.pl/technologia/news-hub-gamingowo-technologiczny-na-slasku-ruszy-pierwszy-etap,nId,20355814"
Francja mówi Rosji dość. Potężne pociski trafią do Ukrainy,technologia,"https://geekweek.interia.pl/militaria/news-francja-mowi-rosji-dosc-potezne-pociski-trafia-do-ukrainy,nId,20355831"
Chiny szkolą superpilotów przy użyciu 1000-letniej metody,technologia,"https://geekweek.interia.pl/militaria/news-chiny-szkola-superpilotow-przy-uzyciu-1000-letniej-metody,nId,20355786"
Polska armia na to czekała. C-295M dostaną ważne ulepszenia,technologia,"https://geekweek.interia.pl/militaria/news-polska-armia-na-to-czekala-c-295m-dostana-wazne-ulepszenia,nId,20355807"
W ChatGPT porozmawiasz teraz ze Świętym Mikołajem,technologia,"https://geekweek.interia.pl/technologia/sztuczna-inteligencja/news-w-chatgpt-porozmawiasz-teraz-ze-swietym-mikolajem,nId,20355805"
Google prezentuje Androida XR. System z przyszłości,technologia,"https://geekweek.interia.pl/technologia/news-google-prezentuje-androida-xr-system-z-przyszlosci,nId,20355773"
Dziwne SMS-y trafiają na telefony Polaków. O co w tym chodzi?,technologia,"https://geekweek.interia.pl/technologia/news-dziwne-sms-y-trafiaja-na-telefony-polakow-o-co-w-tym-chodzi,nId,20355789"
Nadajesz się na szpiega? Zagadka świąteczna od Jamesa Bonda ,technologia,"https://geekweek.interia.pl/lifestyle/news-nadajesz-sie-na-szpiega-zagadka-swiateczna-od-jamesa-bonda,nId,20355737"
To już nie sci-fi. Brytyjczycy strzelają bronią laserową,technologia,"https://geekweek.interia.pl/militaria/news-to-juz-nie-sci-fi-brytyjczycy-strzelaja-bronia-laserowa,nId,20355757"
Pokazali najmocniejszy myśliwiec Rosji. Ten szczegół budzi niepokój,technologia,"https://geekweek.interia.pl/militaria/news-pokazali-najmocniejszy-mysliwiec-rosji-ten-szczegol-budzi-ni,nId,20355748"
"Zatopili dronami aż 15 kutrów rakietowych. ""Wojenny przełom""",technologia,"https://geekweek.interia.pl/militaria/news-zatopili-dronami-az-15-kutrow-rakietowych-wojenny-przelom,nId,20355754"
Rosja bezbronna wobec hipersonicznych pocisków Dark Eagle,technologia,"https://geekweek.interia.pl/militaria/news-rosja-bezbronna-wobec-hipersonicznych-pociskow-dark-eagle,nId,20355751"
W Ukrainie żołnierze wyglądają jak humanoidalne roboty,technologia,"https://geekweek.interia.pl/militaria/news-w-ukrainie-zolnierze-wygladaja-jak-humanoidalne-roboty,nId,20355752"
"Pentagon: Rosja użyje Oriesznika w ""nadchodzących dniach""",technologia,"https://geekweek.interia.pl/militaria/news-pentagon-rosja-uzyje-oriesznika-w-nadchodzacych-dniach,nId,20355731"
LG kończy pewną erę. Ucieka z rynku odtwarzaczy płyt,technologia,"https://geekweek.interia.pl/technologia/news-lg-konczy-pewna-ere-ucieka-z-rynku-odtwarzaczy-plyt,nId,20355724"
Nowy rozkład jazdy. 505 pociągów i krótsze czasy przejazdów,technologia,"https://geekweek.interia.pl/technologia/news-nowy-rozklad-jazdy-505-pociagow-i-krotsze-czasy-przejazdow,nId,20355711"
