headline,category,url
"USA uderzają w czuły punkt Chin. ""Bardziej agresywne posunięcie, niż oczekiwano""",technologia,https://wiadomosci.onet.pl/politico/usa-uderzaja-we-wrazliwy-punkt-xi-jinpinga-zaboli-chinska-armie/f1cklnn
Biden zakazał niektórych inwestycji w Chinach. Chodzi o ważny sektor,technologia,https://wiadomosci.onet.pl/swiat/biden-zakazal-niektorych-inwestycji-technologicznych-w-chinach-chodzi-o-armie/7060whk
Francja chce być potęgą AI. Paryż stawia na sztuczną inteligencję open source,technologia,https://wiadomosci.onet.pl/politico/francja-chce-byc-potega-ai-paryz-stawia-na-sztuczna-inteligencje-open-source/r7qfcby
"Uważaj na tę chińską aplikację. Nazywa się Temu i szybko zyskuje popularność, ale eksperci mają do niej zastrzeżenia",technologia,https://wiadomosci.onet.pl/politico/temu-chinska-aplikacja-ktora-budzi-zastrzezenia-w-kwestii-bezpieczenstwa/gc35jg7
"UE i USA walczą o to, kto będzie mistrzem w produkcji wodoru. Prowadzi Ameryka, bo Europę zabija biurokracja",technologia,https://wiadomosci.onet.pl/swiat/europa-i-usa-walcza-o-to-kto-bedzie-mistrzem-w-produkcji-wodoru/8rqmkhk
"Monika Porwoł: Ludzie powinni zachować sprawczość i decyzyjność, a nie delegować zadania maszynom wykorzystującym sztuczną inteligencję [OPINIA]",technologia,https://wiadomosci.onet.pl/opinie/monika-porwol-nie-delegowac-zadan-sztucznej-inteligencji/0egbtq9
"""Technologia 6G może oznaczać koniec smartfonów""",technologia,https://wiadomosci.onet.pl/swiat/technologia-6g-moze-oznaczac-koniec-smartfonow/n5gvsrt
"""Skończyłaś 40 lat? Powinnaś się zakryć!""",technologia,https://wiadomosci.onet.pl/swiat/skonczylas-40-lat-powinnas-sie-zakryc-chatgpt-doradza-w-kwestii-ubioru/k9zxh4l
"""Cyfrowa dekada Europy""? Nie dla Polski. Jak Bruksela uderza w potencjał słabszych krajów członkowskich",technologia,https://wiadomosci.onet.pl/politico/niesprawiedliwosc-po-europejsku-tak-ue-uderza-w-polski-potencjal/xcynjzg
Wielka wojna o chipy. Prawdziwe znaczenie Tajwanu [FRAGMENT KSIĄŻKI],technologia,https://wiadomosci.onet.pl/swiat/wielka-wojna-o-chipy-prawdziwe-znaczenie-tajwanu-fragment-ksiazki/g5tyn6d
"""Bitcoin to wykrywacz idiotów, a kryptowaluty są dla ofiar i drapieżników"". Co się stanie, gdy pęknie bańka? [WYWIAD]",technologia,https://wiadomosci.onet.pl/swiat/gdyby-ludzie-wiedzieli-jak-dzialaja-bitcoiny-nie-inwestowaliby-w-nie/0f9ktln
"Jest kraj w Europie, który miał odwagę sprzeciwić się Chinom. Odciął je od kluczowej technologii",technologia,https://wiadomosci.onet.pl/swiat/holandia-ma-odwage-sprzeciwic-sie-chinom-zablokowala-ich-wazna-technologie/4cw6yvv
"Gdzie dwóch się bije, tam... Tajwan korzysta! Tak mały kraj przechytrzył mocarstwa i stał się chipową potęgą",technologia,https://wiadomosci.onet.pl/swiat/tak-maly-tajwan-przechytrzyl-usa-i-chiny-i-stal-sie-chipowa-potega/mzkpk0e
"Coraz mniej osób chce pracować w Niemczech. ""Tracą praktycznie na każdym polu""",technologia,https://wiadomosci.onet.pl/swiat/niemcy-traca-w-rankingach-brakuje-wykwalifikowanych-pracownikow/plpdvv1
"David Auerbach uważa, że sztuczna inteligencja jest przereklamowana",technologia,https://wiadomosci.onet.pl/nauka/david-auerbach-uwaza-ze-sztuczna-inteligencja-jest-przereklamowana/wzq97xz
"To mit, że sztuczna inteligencja zabierze nam pracę. Z tymi zawodami możesz być spokojny o swoją przyszłość",technologia,https://wiadomosci.onet.pl/swiat/te-zawody-to-strzal-w-dziesiatke-niektore-moga-cie-zaskoczyc/nnx37tk
Ta książka pomaga Nealowi Stephensonowi zrozumieć przyszłość,technologia,https://wiadomosci.onet.pl/politico/ta-ksiazka-pomaga-nealowi-stephensonowi-zrozumiec-przyszlosc/g2f4z8y
Podczerwień nie służy już tylko do zmieniania kanałów w telewizji. Badam nią mózgi,technologia,https://wiadomosci.onet.pl/nauka/podczerwien-nie-sluzy-juz-tylko-do-zmieniania-kanalow-badam-nia-mozgi/jxlp8k7
