headline,category,content,url
Nowy rekrut w ukraińskiej armii. To innowacyjny robot bojowy,technologia,"Jeszcze więcej robotów w ukraińskiej armii - Ministerstwo Obrony zatwierdziło operacyjne wykorzystanie modelu bojowego Droid TW 12.7, czyli nowej platformy gąsienicowej wyposażonej w karabin maszynowy","https://geekweek.interia.pl/militaria/news-nowy-rekrut-w-ukrainskiej-armii-to-innowacyjny-robot-bojowy,nId,20355875"
Aeroprakt A-22. To jego Ukraina posłała na Grozny,technologia,"Jak podają rosyjskie kanały na Telegramie, dziś rano w Groznym doszło do serii eksplozji będących efektem nalotu dronów. To już kolejny w ostatnich dniach tego typu atak na rosyjską infrastrukturę woj","https://geekweek.interia.pl/militaria/news-aeroprakt-a-22-to-jego-ukraina-poslala-na-grozny,nId,20355863"
Jak płacić telefonem z Androidem? Prosty sposób z apką,technologia,"Płatności mobilne pozwalają na zbliżeniowe płacenie telefonem. Są łatwe w obsłudze i co najważniejsze, bezpłatne. Jak płacić zbliżeniowo telefonem z Androidem? Aktywujesz płatności w kilku prostych kr","https://geekweek.interia.pl/mobile/news-jak-placic-telefonem-z-androidem-prosty-sposob-z-apka,nId,20355118"
Miała wytrzymać tajfuny. Pękły jej gigantyczne łopaty!,technologia,"Docierają do nas informacje o awarii największej na świecie turbiny wiatrowej, czyli MySE18.X-20MW, zainstalowanej w sierpniu w chińskiej prowincji Hajnan. I chodzi o naprawdę groźny incydent, bo giga","https://geekweek.interia.pl/technologia/news-miala-wytrzymac-tajfuny-pekly-jej-gigantyczne-lopaty,nId,20355847"
"Google robi ""mały” krok w kierunku komputerów kwantowych",technologia,"Google opracowało specjalny kwantowy układ scalony, który ma zapewnić nie tylko ogromną moc obliczeniową, ale także rozwiązać ważne problemy trapiące technologię komputerów kwantowych. W komputerach k","https://geekweek.interia.pl/technologia/news-google-robi-maly-krok-w-kierunku-komputerow-kwantowych,nId,20355596"
Szwajcaria obawia się wojny? Modernizuje swoje schrony,technologia,"Szwajcaria, znana ze swojej neutralności oraz dbałości o bezpieczeństwo obywateli, podejmuje kroki w celu modernizacji sieci schronów atomowych. Decyzja ta jest odpowiedzią na rosnące napięcia na świe","https://geekweek.interia.pl/militaria/news-szwajcaria-obawia-sie-wojny-modernizuje-swoje-schrony,nId,20355843"
Księżyc bogaty w cenny surowiec. Na Ziemi kosztuje fortunę,technologia,"Księżyc ma pewne zasoby, których brakuje na Ziemi. Do nich z pewnością zalicza się hel-3. Problem jednak w tym, że nie istnieją rozwiązania, które pozwoliłyby na jego efektywne pozyskiwanie i dostarcz","https://geekweek.interia.pl/technologia/news-ksiezyc-bogaty-w-cenny-surowiec-na-ziemi-kosztuje-fortune,nId,20355717"
Laptop ładowany pisaniem na klawiaturze? Rewolucyjny patent,technologia,Dzięki przełomowemu odkryciu naukowców z Rensselaer Polytechnic Institute (RPI) w Nowym Jorku możliwe stają się futurystyczne wizje laptopów ładowanych pisaniem na klawiaturze czy butów ładujących tel,"https://geekweek.interia.pl/technologia/news-laptop-ladowany-pisaniem-na-klawiaturze-rewolucyjny-patent,nId,20355488"
"e-Doręczenia, czyli list polecony przez internet. Czy musisz mieć skrzynkę?",technologia,"Od 1 stycznia 2025 roku w Polsce zacznie działać system e-doręczeń, który wprowadzi nowy standard komunikacji między urzędami a obywatelami. Kto będzie musiał korzystać z e-doręczeń, czyli elektronicz","https://geekweek.interia.pl/technologia/news-e-doreczenia-czyli-list-polecony-przez-internet-czy-musisz-m,nId,20355777"
"Strącili ręczną wyrzutnią pocisk, który niedawno spadł na Polskę",technologia,"Ukraińcy żołnierze pochwalili się strąceniem, za pomocą ręcznej wyrzutni, potężnego rosyjskiego pocisku manewrującego Ch-101, który niedawno spadł na Polskę. Ta broń mogła doprowadzić do śmierci dzies","https://geekweek.interia.pl/militaria/news-stracili-reczna-wyrzutnia-pocisk-ktory-niedawno-spadl-na-pol,nId,20355837"
Sztuczna inteligencja wywołuje choroby. Astma jedną z nich,technologia,"Wraz ze wzrostem zapotrzebowania na sztuczną inteligencję, rośnie również zużycie energii przez centra danych wspierające tę technologię. To z kolei związane jest z kosztami, o których rzadko się mówi","https://geekweek.interia.pl/technologia/news-sztuczna-inteligencja-wywoluje-choroby-astma-jedna-z-nich,nId,20355810"
Paniczna ewakuacja Rosjan. Sprzęt wart miliardy dolarów,technologia,Instytut Studiów nad Wojną informuje o panicznej ewakuacji rosyjskiej armii z największej bazy w Syrii. Najnowsze obrazy satelitarne ujawniają przygotowanie do transportu sprzętu wartego miliardy dola,"https://geekweek.interia.pl/lotnictwo/news-paniczna-ewakuacja-rosjan-sprzet-wart-miliardy-dolarow,nId,20355833"
Hub Gamingowo-Technologiczny na Śląsku. Ruszy pierwszy etap,technologia,"Dawna kopalnia węgla na Śląsku zmieni niedługo swoje funkcje. Stanie się hubem gamingowo technologiczny, który przyciągnie firmy z branży gamingowej, e-sportowej i technologicznej. Katowice stawiają n","https://geekweek.interia.pl/technologia/news-hub-gamingowo-technologiczny-na-slasku-ruszy-pierwszy-etap,nId,20355814"
Francja mówi Rosji dość. Potężne pociski trafią do Ukrainy,technologia,"Francja zapowiedziała, że w dalszym ciągu będzie dostarczać Ukrainie potężne pociski dalekiego zasięgu o nazwie SCALP-EG. Dodatkowo rząd podtrzymuje, że ataki tą bronią na terenie Rosji są uzasadniony","https://geekweek.interia.pl/militaria/news-francja-mowi-rosji-dosc-potezne-pociski-trafia-do-ukrainy,nId,20355831"
Chiny szkolą superpilotów przy użyciu 1000-letniej metody,technologia,"Chiny mają wykorzystywać starożytną metodę Qigong, aby poprawić wydajność swoich pilotów w przyszłych bitwach z udziałem myśliwców stealth i dronów. Tradycyjna praktyka miała stać się częścią regularn","https://geekweek.interia.pl/militaria/news-chiny-szkola-superpilotow-przy-uzyciu-1000-letniej-metody,nId,20355786"
Polska armia na to czekała. C-295M dostaną ważne ulepszenia,technologia,"Agencja Uzbrojenia podpisała umowę na modernizację floty samolotów C-295M. To jedne z najważniejszych maszyn, które służą do kluczowego transportu dla armii, ale także ratują polskich obywateli. Brały","https://geekweek.interia.pl/militaria/news-polska-armia-na-to-czekala-c-295m-dostana-wazne-ulepszenia,nId,20355807"
W ChatGPT porozmawiasz teraz ze Świętym Mikołajem,technologia,ChatGPT dostał na Boże Narodzenie wyjątkową aktualizację. Dzięki nowej funkcji wprowadzonej przez OpenAI możliwa jest teraz rozmowa głosowa ze Świętym Mikołajem. Jak aktywować głos Świętego Mikołaja w,"https://geekweek.interia.pl/technologia/sztuczna-inteligencja/news-w-chatgpt-porozmawiasz-teraz-ze-swietym-mikolajem,nId,20355805"
Google prezentuje Androida XR. System z przyszłości,technologia,"Android XR to nowy system operacyjny Google, który to jednak nie trafi do telefonów. Firma stworzyła go z myślą o urządzeniach AR/VR w połączeniu z AI. Wiemy, że taki produkt przygotowuje Samsung i je","https://geekweek.interia.pl/technologia/news-google-prezentuje-androida-xr-system-z-przyszlosci,nId,20355773"
