headline,category,url,sub_category
Nie instaluj nowego Windowsa 11 na Windowsie 10. Jest ostrzeżenie,technologia,"https://geekweek.interia.pl/technologia/news-nie-instaluj-nowego-windowsa-11-na-windowsie-10-jest-ostrzez,nId,20355907",Technologia
HDMI 2.2 wprowadzi ważne zmiany. Jedna może być minusem,technologia,"https://geekweek.interia.pl/technologia/news-hdmi-2-2-wprowadzi-wazne-zmiany-jedna-moze-byc-minusem,nId,20355898",Technologia
6 sprzętów pożerających prąd. To nie pralka i żelazko,technologia,"https://geekweek.interia.pl/technologia/news-6-sprzetow-pozerajacych-prad-to-nie-pralka-i-zelazko,nId,20355892",Technologia
Rozpoznasz firmę po logo? Zdobycie 10 punktów to wyzwanie!,technologia,"https://geekweek.interia.pl/quizy/news-rozpoznasz-firme-po-logo-zdobycie-10-punktow-to-wyzwanie,nId,20355797",Quizy
Nowy rekrut w ukraińskiej armii. To innowacyjny robot bojowy,technologia,"https://geekweek.interia.pl/militaria/news-nowy-rekrut-w-ukrainskiej-armii-to-innowacyjny-robot-bojowy,nId,20355875",Militaria
Aeroprakt A-22. To jego Ukraina posłała na Grozny,technologia,"https://geekweek.interia.pl/militaria/news-aeroprakt-a-22-to-jego-ukraina-poslala-na-grozny,nId,20355863",Militaria
Jak płacić telefonem z Androidem? Prosty sposób z apką,technologia,"https://geekweek.interia.pl/mobile/news-jak-placic-telefonem-z-androidem-prosty-sposob-z-apka,nId,20355118",Mobile
Miała wytrzymać tajfuny. Pękły jej gigantyczne łopaty!,technologia,"https://geekweek.interia.pl/technologia/news-miala-wytrzymac-tajfuny-pekly-jej-gigantyczne-lopaty,nId,20355847",Technologia
"Google robi ""mały” krok w kierunku komputerów kwantowych",technologia,"https://geekweek.interia.pl/technologia/news-google-robi-maly-krok-w-kierunku-komputerow-kwantowych,nId,20355596",Technologia
Szwajcaria obawia się wojny? Modernizuje swoje schrony,technologia,"https://geekweek.interia.pl/militaria/news-szwajcaria-obawia-sie-wojny-modernizuje-swoje-schrony,nId,20355843",Militaria
Księżyc bogaty w cenny surowiec. Na Ziemi kosztuje fortunę,technologia,"https://geekweek.interia.pl/technologia/news-ksiezyc-bogaty-w-cenny-surowiec-na-ziemi-kosztuje-fortune,nId,20355717",Technologia
Laptop ładowany pisaniem na klawiaturze? Rewolucyjny patent,technologia,"https://geekweek.interia.pl/technologia/news-laptop-ladowany-pisaniem-na-klawiaturze-rewolucyjny-patent,nId,20355488",Technologia
"e-Doręczenia, czyli list polecony przez internet. Czy musisz mieć skrzynkę?",technologia,"https://geekweek.interia.pl/technologia/news-e-doreczenia-czyli-list-polecony-przez-internet-czy-musisz-m,nId,20355777",Technologia
"Strącili ręczną wyrzutnią pocisk, który niedawno spadł na Polskę",technologia,"https://geekweek.interia.pl/militaria/news-stracili-reczna-wyrzutnia-pocisk-ktory-niedawno-spadl-na-pol,nId,20355837",Militaria
Sztuczna inteligencja wywołuje choroby. Astma jedną z nich,technologia,"https://geekweek.interia.pl/technologia/news-sztuczna-inteligencja-wywoluje-choroby-astma-jedna-z-nich,nId,20355810",Technologia
Paniczna ewakuacja Rosjan. Sprzęt wart miliardy dolarów,technologia,"https://geekweek.interia.pl/lotnictwo/news-paniczna-ewakuacja-rosjan-sprzet-wart-miliardy-dolarow,nId,20355833",Lotnictwo
Hub Gamingowo-Technologiczny na Śląsku. Ruszy pierwszy etap,technologia,"https://geekweek.interia.pl/technologia/news-hub-gamingowo-technologiczny-na-slasku-ruszy-pierwszy-etap,nId,20355814",Technologia
Francja mówi Rosji dość. Potężne pociski trafią do Ukrainy,technologia,"https://geekweek.interia.pl/militaria/news-francja-mowi-rosji-dosc-potezne-pociski-trafia-do-ukrainy,nId,20355831",Militaria
Chiny szkolą superpilotów przy użyciu 1000-letniej metody,technologia,"https://geekweek.interia.pl/militaria/news-chiny-szkola-superpilotow-przy-uzyciu-1000-letniej-metody,nId,20355786",Militaria
Polska armia na to czekała. C-295M dostaną ważne ulepszenia,technologia,"https://geekweek.interia.pl/militaria/news-polska-armia-na-to-czekala-c-295m-dostana-wazne-ulepszenia,nId,20355807",Militaria
