headline,category,content,url
"Gdzie jest Romanowski? Ekspert: 'Służby wiedzą, gdzie jest'. Jest jednak 'problem'",wiadomosci,"W czwartek 12 grudnia rzecznik Prokuratury Krajowej Przemysław Nowak poinformował o wydaniu listu gończego za byłym wiceministrem sprawiedliwości Marcinem Romanowskim. Prokurator zapewnił, że śledczy","https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31551203,gdzie-jest-romanowski-ekspert-sluzby-wiedza-gdzie-jest.html"
"Co dalej z ministrem Wieczorkiem? Nieoficjalnie: Wiadomo, kto może go zastąpić",wiadomosci,"Kto zastąpi Wieczorka? Decyzja w sprawie ewentualnej dymisji ministra nauki i szkolnictwa wyższego jeszcze nie zapadła, jednak pojawiają się już pierwsze doniesienia, kto może zająć jego stanowisko. J","https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31551194,co-dalej-z-ministrem-wieczorkiem-nieoficjalnie-wiadomo-kto.html"
Krzysztof Dymiński nadal poszukiwany. Jego matka opublikowała zdjęcie. 'Tylko to chcemy wiedzieć',wiadomosci,"Co się stało: We wtorek 17 grudnia matka Krzysztofa Dymińskiego dodała wpis wraz ze zdjęciem na Facebooku. Publikuję zdjęcie osoby, która podróżowała autobusem w Warszawie 17 listopada tego roku. Zdj","https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31551346,krzysztof-dyminski-nadal-poszukiwany-jego-matka-opublikowala.html"
Wielki pożar na Podkarpaciu. Pali się opuszczona hala produkcyjna,wiadomosci,"Co się dzieje: We wsi Pełkinie (woj. podkarpackie) doszło do pożaru byłej hali produkcyjnej, która obecnie jest pustostanem. Jak poinformował Polską Agencję Prasową rzecznik prasowy Komendanta Wojewód","https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31551389,wielki-pozar-na-podkarpaciu-pali-sie-opuszczona-hala-produkcyjna.html"
Rosja bez cienia wątpliwości: NATO szykuje się do wojny w Europie. Minister wydał polecenie,wiadomosci,,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31550906,rosja-bez-cienia-watpliwosci-nato-szykuje-sie-do-wojny-w-europie.html"
Wygłodzona trzylatka ważyła 8 kg. Zatrzymano rodziców dziewczynki,wiadomosci,"Co powiedziała prokuratorka: W sprawie w poniedziałek 16 grudnia zatrzymani zostali 45-letni mężczyzna i 43-letnia kobieta. - Aktualnie są prowadzone czynności dowodowe, po ich przeprowadzeniu będzie","https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31551219,wyglodzona-trzylatka-wazyla-8-kg-zatrzymano-rodzicow-dziewczynki.html"
Nowy skandal w rodzinie królewskiej. Książę Andrzej nie weźmie udziału w spotkaniu świątecznym,wiadomosci,O co chodzi: Książę Andrzej i jego była żona Sarah Ferguson nie dołączą do rodziny królewskiej podczas tegorocznych świąt Bożego Narodzenia w Sandringham - ustaliło Sky News. Ma to związek z doniesien,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31550922,nowy-skandal-w-rodzinie-krolewskiej-ksiaze-andrzej-nie-wezmie.html"
Kilometrówek ciąg dalszy. 'GW': Prokurator od Ziobry w ciągu roku trzy razy 'okrążył' Ziemię,wiadomosci,"Co się stało: Gazeta Wyborcza donosi, że Jerzy Ziarkiewicz w zeszłym roku wyjeździł w delegacjach ponad 120 tysięcy kilometrów (odległość trzy razy dłuższą od równika). Z tego tytułu miał otrzymać 1","https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31550845,kilometrowek-ciag-dalszy-gw-prokurator-od-ziobry-w-ciagu.html"
Jarosław Gugała znika z Polsat News. Dostał program w innej stacji. 'Polityków nie będę zapraszał',wiadomosci,"Jarosław Gugała odchodzi z Polsat News: W roli gospodarza Wydarzeń wieczornych, które prowadził od 2018 roku, pozostanie jedynie do końca grudnia. Jak ustalił portal Wirtualne Media, dziennikarz ma","https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31550947,jaroslaw-gugala-znika-z-polsat-news-dostal-program-w-innej.html"
"Dywersanci, drony i HIMARS. Ukraińcy chwalą się rzadkim atakiem na pociąg",wiadomosci,"Akcja dywersyjna została przeprowadzona wspólnie przez Służbę Bezpieczeństwa Ukrainy, Główny Zarząd Wywiadu Wojskowego, wojska specjalne oraz artylerię. Do ataku na pociąg doszło na odcinku linii kole","https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31548538,dywersanci-drony-i-himars-ukraincy-chwala-sie-rzadkim-atakiem.html"
