headline,category,url
Poseł Konfederacji rozpętał aferę. Skarbówka żąda jego ukarania,Poseł,https://www.money.pl/gospodarka/posel-oskarzyl-inspektorow-skarbowki-o-picie-podczas-kontroli-nie-puscili-tego-plazem-7082201668242016a.html
Dopłata do okularów przez pracodawcę. Jest apel o zmiany w prawie,Prawo,https://www.money.pl/gospodarka/doplata-do-okularow-przez-pracodawce-jest-apel-o-zmiany-w-prawie-7081998864104000a.html
System kaucyjny. Branża apeluje o czas,Gospodarka,https://www.money.pl/gospodarka/system-kaucyjny-branza-apeluje-o-czas-7081985023851104a.html
Koniec z taką pracą urzędów? Oto plany rządu,Prawo,https://www.money.pl/gospodarka/koniec-z-taka-praca-urzedow-oto-plany-rzadu-7081961735305792a.html
Nadzorowała przebieg loterii Buddy. Zabiera głos,Budda,https://www.money.pl/gospodarka/nadzorowala-przebieg-loterii-buddy-zabiera-glos-7081912071084640a.html
Wszystkie biznesy Buddy. Na czym zarabiał zatrzymany youtuber,Biznes,https://www.money.pl/pieniadze/wszystkie-biznesy-buddy-na-czym-zarabial-zatrzymany-youtuber-7081904541387360a.html
Cinkciarz chce pozwać kolejny bank. Domaga się co najmniej 1 mld zł odszkodowania,Finanse,https://www.money.pl/gospodarka/cinkciarz-chce-pozwac-kolejny-bank-domaga-sie-co-najmniej-1-mld-zl-odszkodowania-7081890611653184a.html
Minister zmieniła zdanie? W sprawie sprzedaży alkoholu na stacjach,Prawo,https://www.money.pl/gospodarka/minister-wycofuje-sie-z-obietnicy-bez-ograniczen-w-sprzedazy-alkoholu-na-stacjach-7081848316725824a.html
"""Nie zgłasza pretensji"". Janusz Palikot w jednoosobowej celi",Prawo,https://www.money.pl/gospodarka/nie-zglasza-pretensji-janusz-palikot-w-jednoosobowej-celi-7081841191942720a.html
Komisja Wenecka zabiera głos ws. polskich sędziów. PiS: wielka porażka,Prawo,https://www.money.pl/gospodarka/komisja-wenecka-zabiera-glos-ws-polskich-sedziow-wielka-porazka-7081712290724448a.html
Parkingi przy nowych mieszkaniach. Rząd planuje zmianę,Prawo,https://www.money.pl/gospodarka/parkingi-przy-nowych-mieszkaniach-rzad-planuje-zmiane-7081674002946624a.html
Streamerzy i youtuberzy pod lupą fiskusa. Anonimowe wpłaty to nie darowizna,Prawo,https://www.money.pl/gospodarka/streamerzy-i-youtuberzy-pod-lupa-fiskusa-anonimowe-wplaty-to-nie-darowizna-7081669322816064a.html
Wnioski o ochronę międzynarodową w Polsce. Obywateli tych krajów jest najwięcej,Cudzoziemcy,https://www.money.pl/gospodarka/wnioski-o-ochrone-miedzynarodowa-w-polsce-obywateli-tych-krajow-jest-najwiecej-7081659122154080a.html
Zatrzymano izraelskiego miliardera. Był skazywany już wcześniej,Prawo,https://www.money.pl/gospodarka/zatrzymano-izraelskiego-miliardera-byl-skazywany-juz-wczesniej-7081639089797696a.html
"2,5 tys. zł kary za antenę. W tym przypadku będziesz musiał płacić",Prawo,https://www.money.pl/gospodarka/2-5-tys-zl-kary-za-antene-w-tym-przypadku-bedziesz-musial-placic-7081644547905153a.html
Warunkowy areszt dla Palikota. Jest ruch obrony,Finanse,https://www.money.pl/gospodarka/warunkowy-areszt-dla-palikota-jest-ruch-obrony-7081627574778432a.html
